DT,SN,BY,WC,HD,LP,AN,anio
2005-08-29,Reforma,Alberto Armendáriz,1053 words,Héctor Larios: Cumple en EU su sueño de ser 'Jacqui',"Cuenta mexicano la historia que lo llevó a Los Ángeles y luego a Nueva York, donde espera operarse para cambiar de sexo NUEVA YORK.- Como en casi todos los hogares de migrantes mexicanos en Estados Unidos, la Virgen de Guadalupe ocupa un lugar destacado en el departamento de Héctor Larios, quien todos los días le agradece a la virgen que le haya permitido sobrevivir y realizar su sueño en este país, lo que en su caso significa ser la mujer que siempre se sintió, Jacqueline.",Document RFMA000020050829e18t000ix,2005
2005-07-25,Reforma,F. Bartolomé,594 words,Templo Mayor,"EL CABALLO negro del PAN, Alberto Cárdenas, consiguió recientemente una afiliación de peso -y de pesos- a ese partido. DE ACUERDO con lo dispuesto por el IFE, los donativos individuales a un partido no pueden rebasar los 910 mil pesos.",Document RFMA000020050725e17p000ez,2005
2006-07-31,El Universal,Claudia Bolaños,378 words,Vecinos atribuyen incremento delictivo a sexoservidores,"La presencia de sexoservidores en Buenavista ha incrementado la inseguridad y la violencia en la zona, según lograron documentar vecinos a través de denuncias penales y videos tomados desde sus calles. En lo que va del año, señalan averiguaciones previas de la Procuraduría General de Justicia del Distrito Federal, tres mujeres han sido asesinadas en hoteles y en calles de la colonia Buenavista, las cuales se suman a otra que fue muerta en diciembre de 2005. Los vecinos, sin embargo, hablan de otros dos crímenes que no están documentados.",Document UNVSAL0020060731e27v0030e,2006
2006-11-27,El Universal,Mónica Archundia,335 words,"Federación quita 30 mdp a plan contra VIH, afirman","GDF paga ahora medicamentos a clínica Condesa Así lo aseguró Carmen Soler, coordinadora del Programa de VIH-SIDA del gobierno de la ciudad, quien dijo que hasta ahora este faltante ha sido suplido con recursos de la administración local, pero hacia finales de marzo de 2007 podría registrarse un desabasto e interrumpirse el tratamiento de los pacientes, lo cual les restará vida y calidad en ésta.",Document UNVSAL0020061128e2br0000a,2006
2006-06-04,Reforma,NA,58 words,Marchan ortodoxos contra gays,"BUCAREST.- Grupos de religiosos y de derecha rumanos trataron de impedir ayer la celebración de la marcha del orgullo gay que se celebró en esta ciudad. La Policía intervino cuando varios jóvenes trataron de atacar a los participantes del desfile. La Iglesia ortodoxa y algunas organizaciones políticas consideraron la marcha ""inmoral y anormal"". NA",Document RFMA000020060604e2640002v,2006
2006-11-17,El Universal,Mónica Archundia y Aline M. González López,325 words,Alternativa promueve la norma en la Zona Rosa,"Con pancartas, banderas multicolores y propaganda, integrantes del Partido Alternativa Socialdemócrata y Campesina promovieron ayer por la tarde, entre transeúntes de la Zona Rosa, la Ley de Sociedades de Convivencia que fue publicada en la Gaceta Oficial del DF y comenzará a aplicar a partir de marzo. El dirigente comentó que solicitará al gobierno local elabore manuales con el procedimiento que deben seguir los funcionarios que estarán a cargo de los registros y la capacitación de éstos.",Document UNVSAL0020061117e2bh002e9,2006
2006-06-18,El Universal,Paola Zárraga,320 words,Mercado urge a crear la secretaría de la familia,"La candidata informó que enviará a sus contrincantes un ""árbol de la vida"" En el parque de San Jacinto, acompañada por candidatos de Alternativa, la aspirante presidencial señaló que dicha dependencia contaría con un presupuesto considerable para realizar sus funciones, y estaría integrada por personal especializado como médicos, sicólogos y abogados.",Document UNVSAL0020060621e26i000xe,2006
2006-06-03,Reforma,Alberto Armendáriz,262 words,Critican desdén en México,"Corresponsal ""El sida no está en la agenda de los candidatos y es urgente que en México haya más campañas públicas de prevención"", señaló Arturo Díaz Betancourt, representante de MEXSIDA, una de las 11 ONGs de la delegación de México, encabezada por el Secretario de Salud, Julio Frenk, que participaron en la reunión de la ONU sobre el sida.",Document RFMA000020060603e2630004z,2006
2006-10-22,Reforma,Francisco Rivas,255 words,Exigen gays derechos en Puebla,"Corresponsal Un contingente de 300 personas, según los organizadores, recorrió un trayecto de 3 kilómetros desde la colonia La Paz hasta el Zócalo de la ciudad, en demanda de respeto a los derechos de las minorías.",Document RFMA000020061022e2am0004p,2006
2007-08-09,El Universal,Yetlaneci Alcaraz,549 words,Buscan facilitar trámite de identidad a transexuales,"Desde que tenía seis años, ""Manuel"" tuvo conciencia de que vivía en un cuerpo que no correspondía con su mente. La idea de responder al nombre de Mariana, jugar con muñecas y usar vestidos le resultaba incongruente con lo que sentía por dentro. Al mismo tiempo, sin embargo, inició una lucha que hasta la fecha no termina: tener una identidad jurídica congruente con su identidad social.",Document UNVSAL0020070809e389000us,2007
2007-11-30,Reforma,Rafael Cabrera,296 words,Cierran antro gay clandestino,"El departamento de Lucerna 1, en la Colonia Juárez, que cobraba cover y ofrecía barra libre para realizar orgías, cerró esta semana sus puertas. Los precios de entrada eran los siguientes: 200 pesos por parejas, 250 por hombres solos, 100 por travestis y las mujeres entraban gratis; a todos se les ofrecía barra libre de alcohol, de acuerdo con la página.",Document RFMA000020071130e3bu00024,2007
2007-11-24,Reforma,Antonio Baranda,274 words,Arranca GDF campaña para prevenir homofobia,"Con una campaña informativa que incluye la implementación de talleres a servidores públicos, y el reparto de guías de seguridad entre la comunidad gay, el Gobierno del DF y organizaciones civiles buscarán prevenir los delitos por homofobia. En la primera etapa de la campaña se distribuirán 3 mil carteles y 10 mil trípticos, que contienen 12 medidas de seguridad para que las personas homosexuales eviten el riesgo de ser víctimas de violencia cuando salen ""a ligar"".",Document RFMA000020071124e3bo0004o,2007
2007-06-29,Reforma,Sergio Fimbres,510 words,Crece mercado gay en la Zona Rosa,"Aumentan número de tiendas para homosexuales. Instalan comercios de productos eróticos, bares, librerías, cines y hoteles exclusivos De los 207 comercios que hay en las 16 cuadras, 82 ofrecen productos o servicios especializados para la comunidad homosexual: cine, restaurantes, bares, sex shops, boutiques, calzonerías, cafés, tiendas de regalos y videos, condonerías, librerías, agencia de viajes y hasta un hotel.",Document RFMA000020070629e36t0005t,2007
2007-02-18,Reforma,Alberto Armendáriz,921 words,Arman fiesta mexicana travestis en Nueva York,"Obtienen 'Ana Paula', 'Lupita' y 'Paulina' 200 dólares por noche más propinas. Ofrece restaurante opciones diversas en el barrio latino de la Gran Manzana NUEVA YORK.- ""¡Qué comience la fantasía!"", ordena el locutor desde la oscuridad. Bañada de luces de todos colores hace su aparición ""Lupita Jones"", enfundada en un ajustado vestido negro con lentejuelas mientras canta ""Heridas"", de Myriam Hernández.",Document RFMA000020070218e32i0001f,2007
2007-09-16,Reforma,Leslie Aguirre,458 words,Vive tu independencia,"Universitarios. Consejos para vivir solo ""Esta inquietud surge en la adolescencia, cuando el joven quiere establecer su identidad de género y su propio pensamiento; es parte de un proceso de desarrollo emocional"", dice Manuel González, investigador y académico de la Facultad de Psicología de la Universidad Nacional Autónoma de México.",Document RFMA000020070916e39g0000e,2007
2007-09-02,El Universal,CINTHYA SÁNCHEZ,772 words,"Poliamor, nuevas formas de relación","Tres almohadas en una cama matrimonial, tres pares de sandalias debajo de la cama, una foto de buró que recuerda las vacaciones en la playa. Él las ama a las dos y ellas se aman entre sí. No hay mentiras ni triángulos de melodramas telenoveleros. Eso sí, los tres presumen de una habilidad en común: se enamoran de más de una persona a la vez y se asumen como poliamorosos. Los poliamorosos son parte de una nueva tendencia mundial de amar. Se definen como capaces de tener más de una relación íntima, simultánea, amorosa y sexual (aunque no necesariamente), son relaciones duraderas, con el pleno consentimiento y conocimiento de todos los amores involucrados.",Document UNVSAL0020070903e392001xr,2007
2007-04-18,Reforma,Jorge Pérez,496 words,Enfrenta tema a diputados en la ALDF,"""¿Qué estamos votando?"", preguntó el diputado panista Jorge Romero a su compañero de curul, antes de ponerse de mil colores, provocar risas y tomar el micrófono para asegurar que sí, que claro que estaba a favor del punto de acuerdo que su partido impulsaba para someter a referéndum, las modificaciones a la ley en materia de aborto. Discutieron por casi dos horas, se dijeron de todo; por segunda semana consecutiva, este tema consumió al resto de los trabajos legislativos.",Document RFMA000020070418e34i0001t,2007
2008-08-01,El Universal,Mónica Archundia,418 words,Se 'feminiza' el VIH-sida en DF: especialistas,"La pandemia del sida ha iniciado una tendencia hacia su feminización, ya que los casos de amas de casa y hombres que tienen sexo con los de su mismo género han aumentado entre 10% y 15%, coincidieron especialistas. Armando Ahued Ortega, secretario de Salud del gobierno capitalino, dijo que de las 21 mil personas que viven con VIH-sida en la capital (cifra acumulada desde el inicio de la pandemia), 13 mil 980 manifiestan ya síntomas de la enfermedad, y de ellas mil 749 son mujeres.",Document UNVSAL0020080802e481000ba,2008
2008-12-02,Reforma,Ernesto Osorio,513 words,Lanzan plan conjunto contra virus del Sida,"Alistan programa de detección en reclusorios de la Ciudad. Impulsan gobiernos federal y del DF combate a enfermedad para el próximo año Para ello, se pondrá en marcha en los próximos días un programa para la detección de casos en los reclusorios de la Ciudad, al tiempo que el gobierno de Felipe Calderón construirá una clínica en la Delegación Iztapalapa que brindará sus servicios a partir de enero del 2009.",Document RFMA000020081202e4c200027,2008
2008-01-02,Reforma,Karla Rodríguez,384 words,"Detectan potencial para el ""pink market""","En México se estima que poco más de 4 millones 874 mil personas son homosexuales y aunque todavía son considerados una minoría, su alto poder adquisitivo, los coloca como una ""minoría significativa"" en el mercado del consumo. ""Desde el punto de vista sociocultural y económico, este segmento muestra una marcada tendencia a la superación constante. Esto repercute en un constante ascenso social"", indica el reporte Pink Market.",Document RFMA000020080102e41200028,2008
2008-08-30,Reforma,Jorge Pérez,124 words,Quieren norma para todo el país,"Emilio Álvarez Icaza, presidente de la Comisión de Derechos Humanos del DF, afirmó que la aprobación Ley Transexual es el primer paso para la rectificación jurídica a favor de este sector. Por su parte, Gloria Hazel Davenport, activista y asesora del Centro Nacional para la Prevención y Control del VIH/sida, dijo que ayer fue un día de luto para la misoginia y la transfobia.",Document RFMA000020080830e48u0003r,2008
2008-03-30,El Universal,Mónica Archundia,329 words,Mujer en cuerpo de hombre,"Hace unas semanas, Manuel recibió la sentencia sobre el juicio que interpuso ante el Registro Civil del Distrito Federal para hacer efectivo su cambio de nombre y sexo. Con esta resolución podrá solicitar la actualización de todos sus documentos, que se encontraban con el nombre de Mónica.",Document UNVSAL0020080401e43u0015p,2008
2008-08-12,Reforma,Jorge Alberto Pérez,503 words,Proponen ley de Sida para DF,"Diputados del PRD dicen que con iniciativa habrá atención integral para todos los enfermos La diputada Leticia Quezada, autora del proyecto, aseguró en conferencia de prensa que este nuevo ordenamiento permitiría garantizar el respeto, la promoción, protección y defensa de los derechos humanos de los hombres, mujeres y niñas que padecen esta enfermedad.",Document RFMA000020080812e48c00021,2008
2008-05-12,El Universal,Olga Valenzuela,421 words,Sueños que se cumplen para Diana y Mario,"En los últimos dos años, Diana Laura y Mario han cumplido parte de sus sueños. Ella por fin logró despojarse del cuerpo de hombre en el que estaba atrapada, por medio de una cirugía de reasignación de sexo. Una más de sus victorias es la del amor, después de cuatro años de noviazgo, el próximo sábado por fin contraerán matrimonio y justo se encuentran en los preparativos de la boda.",Document UNVSAL0020080512e45c000p7,2008
2008-08-20,Reforma,Jorge Pérez,220 words,Podrían 'trans' casarse,"Las reformas al código de procedimientos civiles y al código civil, para permitir la reasignación de la identidad genérica, permitiría a personas transgénero, transexuales y travestis, casarse civilmente. Con esto se abre la posibilidad para que la comunidad transgénero, con sólo manifestar por escrito que ha reasignado su identidad de género, pueda contraer nupcias, con una persona de otra identidad, hombre o mujer, según sea el caso.",Document RFMA000020080820e48k0001f,2008
2008-04-20,Reforma,Alejandro Pairone,1529 words,Reina de la fiesta (II),"¿Dónde está Vanesa?: Segunda parte. Como mujer, incansable en la diversión de la noche de Buenos Aires; como adolescente, parte del harem de Maradona. Guardaba el triste secreto de la niña violada por su propio padre Vanesa, pobre, tuvo muchos problemas de chica, dice Silvana, preocupada por la desaparición de su hermana en la Ciudad de México y en un intento vano por eludir en el recuerdo lo que ella y sus hermanas supieron hace poco tiempo, acerca de esa vida tan complicada.",Document RFMA000020080420e44k0006t,2008
2008-06-28,Reforma,Jesús García,652 words,Marchan gays contra el odio,"Celebran 30 años de movilización. Proponen activistas que cada 17 de mayo sea el día en contra de la homofobia Además exigirán al Presidente Felipe Calderón que publique en el Diario Oficial que el 17 de mayo se reconozca como el Día Contra la Homofobia; que se homologuen los derechos laborales entre parejas del mismo sexo, y se aprueben las normas para que los individuos transgénero puedan cambiar su situación jurídica.",Document RFMA000020080628e46s0003r,2008
2008-06-06,Reforma,Jorge Pérez,524 words,Acusan freno de PRD a ley transexual,"Presenta sol azteca otra iniciativa, con la que suman 4 propuestas sobre cambio de sexo Luego de que el grupo parlamentario del sol azteca ya presentó dos iniciativas más acerca de este tema, Díaz Cuervo dijo que tal parece que lo único que buscan es complicar que se apruebe el dictamen.",Document RFMA000020080606e4660001g,2008
2009-05-17,La Jornada,NA,315 words,"Encabezados por la hija de Raúl Castro, homosexuales se manifiestan en La Habana","Más tarde, un debate abierto mostró que hay avances en la pugna por el respeto a la diversidad sexual en una nación donde hasta la década pasada persistía una ley homofóbica. Pero la discusión ilustró, también, que la policía y otras autoridades cubanas continúan hostilizando a homosexuales sólo por su apariencia. Comediantes en zancos animaron al tumulto y ondeaba la bandera del arcoiris del movimiento gay. La caminata por dos cuadras de La Rampa, el tramo más popular de la concurrida calle 23, fue una especie de exorcismo a media mañana, al realizarse en el mismo lugar donde hasta hace unos cinco años la policía ejecutaba por la madrugada redadas de gays.",Document JORNDA0020090517e55h0006c,2009
2009-06-07,Reforma,Rafael Cabrera,1211 words,Enfrenta retos combate a Sida,Señalan pendientes para atajar al VIH Autoridades: la autocrítica,Document RFMA000020090607e5670003v,2009
2009-12-02,Reforma,Óscar del Valle,483 words,Crece 30 por ciento la detección de VIH,Reporta Salud que 9 de cada 10 nuevos casos son mujeres Esto a consecuencia principalmente de los programas de detección implementados por la Secretaria de Salud local y el incremento de personas desempleadas que acuden a los servicios gratuitos al perder la seguridad social del trabajo.,Document RFMA000020091202e5c200014,2009
2009-04-03,Reforma,Haydeé Ramírez y Verónica Ayala,171 words,Un Vistazo,Se entrega Edil a la Policía Haydeé Ramírez,Document RFMA000020090403e54300056,2009
2009-01-22,Milenio,NA,266 words,"Buscan Díaz Cuervo, Begné y Pascoe diputación federal por el PSD","Ciudad de México.- El Partido Socialdemócrata publicó en su página electrónica la lista de aspirantes a una candidatura para diputados federales por el principio de mayoría relativa. Díaz Cuervo informó que en los actos de campaña participarán figuras del ámbito artístico como Gloria Trevi y Ana Bárbara quienes, según dijo, son ""fans"" del PSD.",Document MILENI0020090123e51m0004r,2009
2009-02-08,La Jornada,Mauricio Ferrer (Corresponsal),451 words,Agrupaciones de sexoservidoras rompen con el Coesida en Jalisco,"""Policías judiciales ya indagan los aparentes picaderos, las supuestas drogas inyectables que se venden y el papel de las trabajadoras sexuales y encargados de esos lugares en el narcomenudeo"", manifestó hoy la RMTS hoy en un comunicado de 20 puntos. Ante la protesta la funcionaria dijo que los días 27 y 28 de enero hubo un taller sobre la relación entre drogas inyectables y VIH/Sida, que incluyó un registro de sitios riesgosos en Guadalajara.",Document JORNDA0020090208e52800021,2009
2009-11-20,Milenio,NA,255 words,Muere transexual involucrado en escándalo sexual en Italia,"Roma.- Un transexual brasileño, identificado como 'Brenda' e involucrado en el escándalo que llevó a la dimisión del gobernador de la región del Lazio, Piero Marrazo, fue encontrado muerto hoy en su departamento de esta capital, informó la policía. Aparentemente el deceso habría sido causado por un incendio y la víctima fue identificada gracias a la declaración de una persona que dio la alarma a los bomberos. Pero según investigadores citados por medios locales, en el departamento de Brenda fueron encontradas las maletas ya listas, lo que demostraría que aparentemente el transexual se aprestaba a escapar de Roma y quizá de Italia.",Document MILENI0020091121e5bk0003g,2009
2009-10-09,La Jornada,NA,302 words,Acusan a Tribuna Libre de que estigmatiza a mujeres y gays,"Así lo denunciaron organizaciones civiles de lucha contra el sida luego de que la publicación, en su edición del 31 de agosto al 6 de septiembre, presentó tres textos periodísticos que reflejaron la homofobia, la violencia machista y el escarnio contra quienes viven con VIH o sida. Otro reportaje relata la detención de travestis que ejercen el trabajo sexual. En el texto se utilizan términos como puñales, mujeres con antena, chinches sidosas y par de lilos. La detención se debe a que los puñales ofrecieron sus encantos a un trailero. Al igual que en los dos reportajes anteriores, el semanario da los nombres de las personas involucradas, su domicilio y muestra la identidad de ambos con sendas fotos en el momento en que fueron aprehendidos. El titular reza: Puñales presos.",Document JORNDA0020091009e5a90006c,2009
2009-11-25,La Jornada,NA,86 words,Campaña en la ALDF en contra de matrimonios gay,"El priísta Emiliano Aguilar, presidente en turno de la mesa directiva del órgano legislativo, quien ayer intentó cancelar la sesión con el argumento de que no había quórum, fue acusado por el titular de la Comisión de Derechos Humanos, David Razú, de colocar en cada una de las curules un volante en el que aparecen las imágenes de tres travestis y la leyenda ¿Legislador, te gustaría que sus hijos terminen así? No promuevas la homosexualidad. NA",Document JORNDA0020091126e5bp00013,2009
2009-05-09,La Jornada,NA,53 words,Crea PSD comisión para asuntos transgénero,<q>Hoy muchas personas transgénero no podemos votar porque no tenemos derecho a una credencial de elector con nuestra identidad. Además si queremos contender por algún cargo de elección popular tenemos que usar nuestro nombre de origen y no todas estamos dispuestas a eso</q> NA,Document JORNDA0020090509e55900013,2009
2009-08-19,Reforma,Ernesto Osorio,386 words,Elevan alerta sanitaria a rango de ley local,Aprueban diputados nueva legislación; incluyen mecanismos contra epidemias La legislación da facultades a la Secretaría de Salud para aplicar políticas para salvaguardar la salud de los capitalinos y se otorga personalidad jurídica al Comité Científico de Vigilancia Epidemiológica y Sanitaria del GDF.,Document RFMA000020090819e58j00007,2009
2010-06-19,La Jornada,NA,68 words,Denuncian acoso escolar jóvenes homosexuales,"Durante la reunión se recordó que en 2008 la asamblea general de las Naciones Unidas emitió la primera declaración sobre orientación sexual e identidad de género. En su participación el titular del Instituto de la Juventud, Javier Hidalg,o se pronunció porque el tema del homosexualismo se incluya en los libros de texto y se aborde abiertamente en los salones de clase. NA",Document JORNDA0020100619e66j0001e,2010
2010-08-13,El Universal,Agencia el Universal,415 words,Transexuales en México luchan por obtener igualdad en su propio país,"MÉXICO, D.F., agosto 13 (EL UNIVERSAL).- Las mujeres transexuales tienen un reto mayúsculo: obtener la igualdad en una sociedad en constante transformación, con muchos avances en lo legal, pero pocos sobre aceptación pública. Diana Barrios, mujer transexual, creó la Fundación Transformarte, ubicada en la ciudad de México, para auxiliar a las mujeres transexuales que viven en la capital, o que llegan de estados, rechazados por sus familias por su género. ""Estos albergues ayudarán a que las mujeres se empoderen cuando llegan a la capital, ya que cuando arriban, creen que van a poder realizarse, pero les cierran las puertas, y la prostitución es el único camino ante tanto rechazo"", señaló la activista. Uno de los puntos más importantes es la modificación del género en documentos oficiales, ya que muchas veces las mujeres transexuales son discriminadas porque, por ejemplo, en su credencial de elector, tienen nombres masculinos, aun cuando tengan una transformación completa de su cuerpo. ""Somos indocumentadas en nuestro propio país"", sentenció. En este sentido, también planteó la necesidad de establecer como un derecho la hormonización a nivel federal, para que un endocrinólogo especialista asesore a las transexuales sobre la inyección de dichas sustancias, y así evitar problemas posteriores. Por otra parte, Barrios reconoció los esfuerzos de Marcelo Ebrard, jefe de gobierno de la ciudad de México, para modificar la legislación para crear un ambiente más favorable para la en la capital para la comunidad Lésbico Gay Bisexual Transexual Travesti Transgénero Intersexual (hermafroditas) (LGBTTTI). Por otro lado, consideró que las posturas en contra de la adopción a homosexuales son erradas, debido a que en la sociedad la violencia sólo se combate con educación: ""Hay tantos niños en espera de un abrazo, pero están creciendo en la soledad, cuando podrían tener una gran oportunidad con parejas homosexuales"", comentó, y agregó que si bien no es fácil adoptar por los exámenes, muchas personas transgénero y homosexuales podrían tener una familia sin problemas. Entre los proyectos que tiene la fundación, está el crear una red de apoyo para mujeres transgénero en todo el país, comenzando en la ciudad de México. Por otra parte, Barrios comentó que ya tiene contacto con comunidades en Argentina, Colombia y Brasil, con quienes establecerán alianzas para luchar por la igualdad. Copyright",Document UNVSAL0020100813e68d0008n,2010
2010-11-19,La Jornada,NA,313 words,Congreso de los Pueblos: la Colombia de abajo y a la izquierda,"Yo diría que es una coordinación desde abajo, señala una integrante de Hijos (Hijos e Hijas por la Memoria y contra la Impunidad), recordando que se trata de un largo proceso nacido con la movilización del pueblo nasa del Cauca, que realizó su primera reunión multitudinaria en octubre de 2004 hacia Cali. En esa fecha se realizó el Primer Congreso Indígena y Popular, que no fue un campeonato de oratoria sino, como dicen los nasa, el inicio del largo proceso de caminar la palabra. De algún modo, el Congreso de los Pueblos fue posible gracias a la determinación nasa, algo que fue visible en la Universidad Nacional, recinto protegido por cientos de integrantes de la guardia indígena. Indígenas, afrodescendientes, campesinos, mujeres y jóvenes –además de cientos de niños y niñas que hicieron su propio congresito– abandonaron la costumbre inveterada de la representación del pueblo y de la delegación de su voluntad en partidos o vanguardias autoproclamadas, según la lectura del economista y militante Héctor León Moncayo en el periódico Desde Abajo. También acudieron colectivos de desplazados –4 millones como consecuencia de la guerra–, de desempleados y sin techo, junto a colectivos de gays, lesbianas y transexuales. El gran ausente fue el movimiento sindical, que sigue anclado en la cultura de la representación y la demanda al Estado. Por el contrario, el Congreso de los Pueblos se construyó con base en mandatos levantados desde las bases. Ninguno hablaba como líder ni como individuo. Hablaban como región, como organización, como campesinos o como jóvenes, dice la integrante de Hijos. Las delegaciones tenían responsables para las diferentes comisiones del enorme campamento que se montó en la Universidad Nacional: aseo, alojamiento, comida, logística, comunicaciones, entre otras. La convivencia hizo del congreso algo diferente a los clásicos encuentros de las izquierdas y las organizaciones institucionalizadas.",Document JORNDA0020101119e6bj00032,2010
